
Epoch:   0%|                                                                                                                     | 0/1 [00:00<?, ?it/s]
0 72 tensor(1.9785, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 5, 5, 5, 0, 4, 0, 4, 1, 2], device='cuda:0')
0 73 tensor(1.8901, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 0, 0, 3, 4, 1, 1, 0, 2, 5], device='cuda:0')
0 74 tensor(1.8248, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 1, 2, 0, 0, 0, 4, 0, 2, 1], device='cuda:0')
0 75 tensor(1.6769, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 2, 1, 3, 5, 5, 0, 3, 2, 0], device='cuda:0')
0 76 tensor(1.7882, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 0, 2, 2, 3, 3, 3, 3, 0], device='cuda:0')
0 77 tensor(1.8804, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 5, 0, 0, 2, 5, 2, 0, 3, 5], device='cuda:0')
0 78 tensor(1.8880, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 0, 0, 1, 1, 0, 1, 0, 0, 1], device='cuda:0')
0 79 tensor(2.0281, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 0, 0, 2, 5, 3, 0, 1, 3, 2], device='cuda:0')
0 80 tensor(1.7619, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 3, 5, 5, 3, 0, 3, 3, 0, 1], device='cuda:0')
0 81 tensor(1.7431, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 0, 0, 0, 3, 5, 4, 2, 2, 1], device='cuda:0')
0 82 tensor(1.7144, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 0, 4, 1, 1, 1, 1, 2, 2, 4], device='cuda:0')
0 83 tensor(1.7025, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 2, 5, 1, 5, 0, 4, 5, 0, 0], device='cuda:0')
0 84 tensor(2.0213, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 3, 3, 5, 0, 5, 2, 2, 4, 4], device='cuda:0')
0 85 tensor(1.9850, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 1, 2, 2, 2, 2, 5, 0, 5, 3], device='cuda:0')
0 86 tensor(1.7779, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 1, 1, 1, 3, 1, 1, 0, 5, 2], device='cuda:0')
0 87 tensor(1.7591, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 5, 3, 5, 2, 5, 0, 0, 3], device='cuda:0')
0 88 tensor(1.7182, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 0, 2, 3, 3, 0, 4, 2, 0, 0], device='cuda:0')
0 89 tensor(1.7058, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 0, 3, 1, 0, 2, 0, 1, 1, 2], device='cuda:0')
0 90 tensor(1.7970, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 3, 0, 3, 0, 0, 3, 1, 1, 0], device='cuda:0')
0 91 tensor(1.9991, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 1, 1, 0, 5, 5, 0, 5, 1], device='cuda:0')
0 92 tensor(1.8234, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 2, 5, 0, 5, 5, 3, 4, 4, 5], device='cuda:0')
0 93 tensor(2.0901, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 5, 0, 3, 3, 3, 1, 0, 1, 5], device='cuda:0')
0 94 tensor(1.6007, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 0, 3, 3, 3, 4, 4, 2, 5, 0], device='cuda:0')
0 95 tensor(1.8104, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 0, 3, 0, 0, 2, 2, 5, 0, 1], device='cuda:0')
0 96 tensor(1.8642, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 5, 3, 2, 2, 2, 5, 4, 5], device='cuda:0')
0 97 tensor(1.7053, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 5, 3, 3, 5, 3, 3, 4, 4, 5], device='cuda:0')
0 98 tensor(1.9326, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 3, 3, 3, 2, 2, 1, 0, 0, 2], device='cuda:0')
0 99 tensor(1.8574, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 2, 3, 0, 4, 3, 0, 3, 3, 4], device='cuda:0')
0 100 tensor(1.9653, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 0, 1, 3, 0, 0, 0, 3, 3, 1], device='cuda:0')
0 101 tensor(1.7804, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 2, 2, 3, 1, 3, 1, 0, 3, 0], device='cuda:0')
0 102 tensor(1.8918, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 2, 4, 0, 2, 0, 2, 4, 4], device='cuda:0')
0 103 tensor(1.8080, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 4, 5, 4, 0, 3, 0, 4, 3, 3], device='cuda:0')
0 104 tensor(1.9525, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 5, 0, 4, 0, 0, 5, 2, 5, 0], device='cuda:0')
0 105 tensor(1.7691, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 5, 2, 3, 1, 0, 0, 0, 1, 5], device='cuda:0')
0 106 tensor(1.7409, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 0, 5, 3, 2, 0, 5, 2, 0, 0], device='cuda:0')
0 107 tensor(1.7430, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 5, 2, 0, 3, 0, 4, 1, 4, 4], device='cuda:0')
0 108 tensor(2.0817, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 0, 2, 3, 2, 2, 4, 0, 4, 2], device='cuda:0')
0 109 tensor(1.6553, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 3, 3, 2, 0, 0, 0, 0, 0, 5], device='cuda:0')
0 110 tensor(1.9553, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 2, 5, 3, 0, 5, 1, 2, 2, 0], device='cuda:0')
0 111 tensor(1.8960, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 1, 3, 5, 1, 0, 3, 1, 5, 5], device='cuda:0')
0 112 tensor(1.7463, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 0, 1, 3, 0, 5, 2, 2, 1, 2], device='cuda:0')
0 113 tensor(1.8488, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 3, 1, 3, 2, 3, 1, 5, 2, 5], device='cuda:0')
0 114 tensor(1.9007, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 5, 2, 4, 0, 4, 1, 3, 3], device='cuda:0')
0 115 tensor(2.0424, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 3, 0, 0, 4, 4, 0, 5, 0, 2], device='cuda:0')
0 116 tensor(1.7393, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 4, 5, 3, 0, 4, 0, 0, 4, 1], device='cuda:0')
0 117 tensor(1.7163, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 3, 4, 0, 2, 2, 4, 2, 0, 0], device='cuda:0')
0 118 tensor(2.0598, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 2, 0, 3, 1, 2, 1, 5, 0, 0], device='cuda:0')
0 119 tensor(1.9327, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 5, 4, 5, 2, 5, 0, 5, 4], device='cuda:0')
0 120 tensor(1.7610, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 0, 0, 1, 0, 3, 0, 0, 4, 4], device='cuda:0')
0 121 tensor(1.9649, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 0, 4, 2, 4, 0, 0, 1, 0, 0], device='cuda:0')
0 122 tensor(1.7677, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 1, 2, 2, 5, 0, 0, 3, 3, 4], device='cuda:0')
0 123 tensor(1.7984, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 0, 0, 0, 0, 5, 4, 0, 4], device='cuda:0')
0 124 tensor(1.7512, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 0, 0, 3, 0, 3, 1, 4, 4, 2], device='cuda:0')
0 125 tensor(1.8579, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 5, 2, 1, 3, 1, 4, 2, 3, 4], device='cuda:0')
0 126 tensor(1.4593, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 1, 2, 3, 2, 3, 2, 0, 2], device='cuda:0')
0 127 tensor(1.8778, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 0, 0, 2, 3, 4, 4, 3, 5, 3], device='cuda:0')
0 128 tensor(1.7746, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 2, 5, 0, 4, 2, 5, 3, 4], device='cuda:0')
0 129 tensor(1.6622, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 0, 1, 0, 2, 0, 3, 5, 2, 5], device='cuda:0')
0 130 tensor(1.8059, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 3, 0, 3, 3, 5, 3, 3, 0, 2], device='cuda:0')
0 131 tensor(1.9516, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 1, 0, 5, 5, 1, 4, 4, 1, 1], device='cuda:0')
0 132 tensor(1.9818, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 5, 2, 4, 5, 5, 5, 2, 4, 2], device='cuda:0')
0 133 tensor(1.9363, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 0, 0, 5, 5, 0, 2, 2, 2, 5], device='cuda:0')
0 134 tensor(1.5467, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 5, 4, 2, 3, 2, 0, 4, 5, 5], device='cuda:0')
0 135 tensor(1.9005, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 0, 5, 3, 4, 0, 2, 2, 3, 2], device='cuda:0')
0 136 tensor(1.9269, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 5, 2, 2, 5, 5, 0, 0, 4, 1], device='cuda:0')
0 137 tensor(1.7516, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 5, 2, 5, 0, 0, 0, 0, 4, 3], device='cuda:0')
0 138 tensor(1.8965, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 5, 3, 0, 3, 5, 2, 3, 4, 1], device='cuda:0')
0 139 tensor(1.8755, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 2, 4, 2, 5, 3, 0, 5, 2, 2], device='cuda:0')
0 140 tensor(1.8942, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 0, 0, 3, 0, 0, 3, 2, 3, 0], device='cuda:0')
0 141 tensor(2.0083, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 5, 0, 3, 5, 2, 5, 0, 0, 5], device='cuda:0')
0 142 tensor(1.7908, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 5, 5, 5, 0, 4, 1, 0, 4, 0], device='cuda:0')
0 143 tensor(1.6883, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 5, 5, 5, 2, 5, 1, 2, 3, 3], device='cuda:0')
0 144 tensor(1.7972, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 2, 2, 1, 1, 0, 4, 4, 5, 5], device='cuda:0')
0 145 tensor(1.8724, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 2, 4, 4, 4, 3, 0, 1, 5, 2], device='cuda:0')
0 146 tensor(1.8868, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 3, 5, 5, 4, 5, 2, 4, 4, 2], device='cuda:0')
0 147 tensor(1.7202, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 3, 5, 2, 3, 2, 2, 5, 5], device='cuda:0')
0 148 tensor(1.6154, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 5, 1, 1, 4, 3, 0, 1, 1, 1], device='cuda:0')
0 149 tensor(1.7379, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 1, 4, 0, 4, 4, 2, 0, 0, 0], device='cuda:0')
0 150 tensor(1.8426, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 1, 3, 3, 0, 3, 1, 3, 3, 2], device='cuda:0')
0 151 tensor(1.8390, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 5, 2, 5, 5, 5, 5, 4, 5, 0], device='cuda:0')
0 152 tensor(2.0777, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 0, 1, 5, 3, 4, 0, 1, 1, 1], device='cuda:0')
0 153 tensor(1.8655, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 5, 5, 5, 3, 0, 2, 5, 4, 5], device='cuda:0')
0 154 tensor(1.8786, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 1, 2, 1, 2, 0, 2, 2, 1, 4], device='cuda:0')
0 155 tensor(1.8155, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 3, 0, 4, 1, 2, 0, 0, 1, 2], device='cuda:0')
0 156 tensor(1.9414, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 3, 3, 5, 3, 1, 2, 0, 3, 3], device='cuda:0')
