
Epoch:   0%|                                                                                                                     | 0/1 [00:00<?, ?it/s]
0 161 tensor(1.9047, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 5, 5, 0, 2, 3, 5, 1, 5, 5], device='cuda:0')
0 162 tensor(2.0309, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 4, 0, 0, 1, 2, 1, 4, 0, 0], device='cuda:0')
0 163 tensor(1.9418, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 3, 3, 4, 4, 1, 0, 1, 0, 0], device='cuda:0')
0 164 tensor(1.7572, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 3, 5, 3, 0, 3, 2, 3, 3, 1], device='cuda:0')
0 165 tensor(1.9523, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 2, 3, 3, 4, 3, 2, 3, 3, 4], device='cuda:0')
0 166 tensor(2.0556, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 2, 2, 5, 5, 5, 3, 2, 2, 0], device='cuda:0')
0 167 tensor(1.8047, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 0, 3, 1, 4, 2, 5, 3, 2, 0], device='cuda:0')
0 168 tensor(1.8142, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 5, 5, 0, 0, 3, 3, 3, 1, 1], device='cuda:0')
0 169 tensor(1.8041, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 3, 4, 0, 0, 4, 4, 0, 5, 5], device='cuda:0')
0 170 tensor(1.9242, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 1, 0, 2, 4, 5, 4, 4, 0, 1], device='cuda:0')
0 171 tensor(1.7295, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 5, 0, 5, 2, 2, 0, 3, 0, 1], device='cuda:0')
0 172 tensor(1.9421, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 4, 3, 4, 3, 5, 4, 0, 4, 3], device='cuda:0')
