
Epoch:   0%|                                                                                                                     | 0/1 [00:00<?, ?it/s]
0 121 tensor(1.7662, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 1, 0, 1, 2, 0, 5, 4, 1, 0], device='cuda:0')
0 122 tensor(1.6294, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 0, 3, 0, 5, 0, 0, 2, 4, 2], device='cuda:0')
0 123 tensor(1.8345, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 2, 0, 5, 3, 4, 4, 5, 3, 2], device='cuda:0')
0 124 tensor(1.8792, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 1, 0, 1, 1, 1, 4, 3, 2, 3], device='cuda:0')
0 125 tensor(1.7780, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 1, 0, 2, 5, 1, 2, 1, 4, 4], device='cuda:0')
0 126 tensor(1.8187, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 2, 2, 4, 5, 4, 0, 0, 0, 1], device='cuda:0')
0 127 tensor(1.8373, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 0, 5, 5, 2, 0, 5, 0, 0, 2], device='cuda:0')
0 128 tensor(1.7176, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 0, 3, 5, 4, 2, 1, 2, 1, 0], device='cuda:0')
0 129 tensor(1.7515, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 1, 4, 0, 1, 3, 0, 0, 2, 2], device='cuda:0')
0 130 tensor(1.9382, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 0, 1, 3, 4, 3, 0, 2, 0], device='cuda:0')
0 131 tensor(1.9851, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 1, 5, 1, 2, 5, 2, 2, 3, 5], device='cuda:0')
0 132 tensor(1.6011, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 1, 2, 4, 0, 0, 4, 2, 1, 0], device='cuda:0')
0 133 tensor(1.8046, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 5, 2, 3, 2, 4, 4, 2, 5, 1], device='cuda:0')
0 134 tensor(1.8805, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 1, 2, 1, 2, 0, 0, 2, 2, 0], device='cuda:0')
0 135 tensor(1.6958, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 1, 3, 1, 5, 4, 0, 0, 2, 3], device='cuda:0')
0 136 tensor(1.9043, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 5, 0, 1, 4, 5, 2, 0, 0, 2], device='cuda:0')
0 137 tensor(1.8402, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 2, 2, 0, 4, 2, 0, 2, 0, 3], device='cuda:0')
0 138 tensor(1.8275, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 1, 3, 4, 3, 5, 5, 2, 5], device='cuda:0')
0 139 tensor(1.7469, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 0, 4, 2, 4, 4, 3, 3, 0, 4], device='cuda:0')
0 140 tensor(1.8812, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 5, 5, 5, 1, 1, 4, 5, 3, 5], device='cuda:0')
0 141 tensor(1.8154, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 2, 3, 3, 5, 5, 0, 0, 2, 0], device='cuda:0')
0 142 tensor(1.8810, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 5, 5, 5, 0, 1, 2, 0, 0, 0], device='cuda:0')
0 143 tensor(1.7859, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 4, 0, 1, 0, 2, 3, 0, 0, 5], device='cuda:0')
0 144 tensor(1.7968, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 5, 5, 2, 0, 2, 0, 3, 0, 4], device='cuda:0')
0 145 tensor(1.7689, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 4, 0, 2, 2, 2, 3, 0, 3, 5], device='cuda:0')
0 146 tensor(1.8924, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 2, 0, 0, 2, 2, 1, 3, 0], device='cuda:0')
0 147 tensor(1.8599, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 2, 0, 0, 0, 5, 2, 5, 3, 3], device='cuda:0')
0 148 tensor(1.8294, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 5, 0, 2, 0, 2, 0, 2, 0, 3], device='cuda:0')
0 149 tensor(1.8403, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 2, 2, 3, 3, 3, 0, 0, 3, 1], device='cuda:0')
0 150 tensor(1.7954, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 5, 4, 2, 0, 0, 5, 2, 2], device='cuda:0')
0 151 tensor(1.9146, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 5, 2, 0, 0, 2, 0, 0, 5, 3], device='cuda:0')
0 152 tensor(1.7928, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 1, 4, 4, 4, 0, 2, 1, 0, 1], device='cuda:0')
0 153 tensor(1.7068, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 0, 3, 5, 4, 0, 0, 4, 0, 0], device='cuda:0')
0 154 tensor(1.8235, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 3, 5, 0, 4, 2, 4, 4, 4, 0], device='cuda:0')
0 155 tensor(1.7380, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 0, 5, 5, 1, 5, 5, 5, 1, 1], device='cuda:0')
0 156 tensor(1.8890, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 0, 2, 1, 0, 3, 4, 4, 3, 2], device='cuda:0')
0 157 tensor(1.8056, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 0, 4, 0, 2, 3, 2, 2, 5, 5], device='cuda:0')
0 158 tensor(1.7616, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 0, 3, 4, 4, 0, 2, 4, 4, 2], device='cuda:0')
0 159 tensor(1.7187, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 5, 2, 5, 4, 0, 3, 5, 0, 1], device='cuda:0')
0 160 tensor(1.8406, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 3, 3, 3, 4, 2, 4, 1, 1, 0], device='cuda:0')
0 161 tensor(1.8837, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 5, 1, 1, 2, 2, 2, 3, 0, 2], device='cuda:0')
0 162 tensor(1.7939, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 1, 5, 0, 1, 5, 0, 2, 0, 5], device='cuda:0')
0 163 tensor(1.8113, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 3, 2, 0, 3, 2, 0, 0, 2, 1], device='cuda:0')
0 164 tensor(1.8607, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 2, 3, 2, 0, 2, 4, 3, 2], device='cuda:0')
0 165 tensor(1.8193, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 2, 2, 5, 0, 2, 0, 3, 4, 4], device='cuda:0')
0 166 tensor(1.8399, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 5, 4, 5, 2, 4, 0, 5, 2, 0], device='cuda:0')
0 167 tensor(1.8816, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 4, 4, 5, 3, 5, 5, 4, 2, 1], device='cuda:0')
0 168 tensor(1.8436, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 0, 0, 5, 3, 4, 4, 3, 5, 4], device='cuda:0')
0 169 tensor(1.8095, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 3, 0, 4, 1, 2, 0, 5, 2, 1], device='cuda:0')
0 170 tensor(1.7392, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 3, 0, 5, 2, 0, 1, 2, 1, 4], device='cuda:0')
0 171 tensor(1.8737, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 3, 0, 5, 3, 1, 4, 3, 4, 4], device='cuda:0')
0 172 tensor(1.8182, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 0, 0, 3, 0, 2, 5, 0, 3, 3], device='cuda:0')
